,param_max_depth,param_max_leaf_nodes,param_splitter,param_max_features,mean_test_score
0,1280,10,best,50,0.7319856312803992
1,1280,20,best,50,0.7469861792956317
2,1280,30,best,50,0.7547893371611175
3,1280,40,best,50,0.759789525475232
4,1280,50,best,50,0.7630319341241962
5,1280,60,best,50,0.7647659721049667
6,1280,70,best,50,0.7668444196744381
7,1280,80,best,50,0.7688159929887906
8,1280,90,best,50,0.7706568875922721
9,1280,100,best,50,0.7726165710214341
