,param_n_neighbors,param_weights,param_metric,mean_test_score
0,7,uniform,manhattan,0.7047876113010474
1,11,uniform,minkowski,0.689442651581225
2,5,distance,euclidean,0.7006425157693675
3,13,uniform,euclidean,0.6900602273677819
4,15,uniform,minkowski,0.6898583200772892
5,13,uniform,manhattan,0.7117712000433334
6,7,distance,minkowski,0.7068897935019358
7,9,distance,minkowski,0.710203458237078
8,15,distance,minkowski,0.7121037557169556
9,5,distance,minkowski,0.7006425157693675
