,model,best_score,best_params
0,decision_tree,0.7846954220203947,"{'max_depth': 40, 'max_leaf_nodes': 640}"
1,knn,0.7370690022412906,"{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'distance'}"
