,param_max_depth,param_max_leaf_nodes,param_splitter,mean_test_score
0,20,20,best,0.7469861792956317
1,20,20,random,0.71082063553122
2,20,40,best,0.7597895290017137
3,20,40,random,0.7323418186121773
4,20,80,best,0.7688515977571013
5,20,80,random,0.7482808606984774
6,20,160,best,0.7776286308830352
7,20,160,random,0.7592906228457605
8,20,320,best,0.7836502370712487
9,20,320,random,0.7665238498063045
10,20,640,best,0.7853723886933104
11,20,640,random,0.7710013507834925
12,20,1280,best,0.7828188965526387
13,20,1280,random,0.7723671683721436
14,40,20,best,0.7469861792956317
15,40,20,random,0.7100730334328788
16,40,40,best,0.7597895290017137
17,40,40,random,0.734598486095577
18,40,80,best,0.7688515977571013
19,40,80,random,0.7470217480938308
20,40,160,best,0.7776286308830352
21,40,160,random,0.7594569951922772
22,40,320,best,0.7836502370712487
23,40,320,random,0.7680795705422557
24,40,640,best,0.7854080188522883
25,40,640,random,0.7721415045860482
26,40,1280,best,0.7828188916155644
27,40,1280,random,0.7737686161197729
28,20,20,best,0.7469861792956317
29,20,20,random,0.7225552257590011
30,20,40,best,0.7597895290017137
31,20,40,random,0.7328528396428436
32,20,80,best,0.7688515977571013
33,20,80,random,0.7507273502201018
34,20,160,best,0.7776286308830352
35,20,160,random,0.7603715211788492
36,20,320,best,0.7836502370712487
37,20,320,random,0.7654310862733962
38,20,640,best,0.7853723893986065
39,20,640,random,0.7737092978789342
40,20,1280,best,0.7829614157779581
41,20,1280,random,0.7703125189107574
42,40,20,best,0.7469861792956317
43,40,20,random,0.718600041838177
44,40,40,best,0.7597895290017137
45,40,40,random,0.7348007700142991
46,40,80,best,0.7688515977571013
47,40,80,random,0.7504423294018706
48,40,160,best,0.7776286308830352
49,40,160,random,0.7617847896926305
50,40,320,best,0.7836502370712487
51,40,320,random,0.768649675655386
52,40,640,best,0.7854317725267056
53,40,640,random,0.7689584748334054
54,40,1280,best,0.782925787734869
55,40,1280,random,0.7712626849304557
56,80,20,best,0.7469861792956317
57,80,20,random,0.7187071354404484
58,80,40,best,0.7597895290017137
59,80,40,random,0.7335651649356578
60,80,80,best,0.7688515977571013
61,80,80,random,0.7472831675816475
62,80,160,best,0.7776286308830352
63,80,160,random,0.7576873030724541
64,80,320,best,0.7836502370712487
65,80,320,random,0.769160427262862
66,80,640,best,0.7854317725267056
67,80,640,random,0.774196173090435
68,80,1280,best,0.7829851694523755
69,80,1280,random,0.7728421960162326
70,160,20,best,0.7469861792956317
71,160,20,random,0.7250139966052679
72,160,40,best,0.7597895290017137
73,160,40,random,0.7374370138657023
74,160,80,best,0.7688515977571013
75,160,80,random,0.7552881283537721
76,160,160,best,0.7776286308830352
77,160,160,random,0.7602527669126881
78,160,320,best,0.7836502370712487
79,160,320,random,0.7646233661282011
80,160,640,best,0.7853961416624313
81,160,640,random,0.7705499660823005
82,160,1280,best,0.7829495399986939
83,160,1280,random,0.7726403134111106
84,320,20,best,0.7469861792956317
85,320,20,random,0.7184220116489559
86,320,40,best,0.7597895290017137
87,320,40,random,0.7410479384259394
88,320,80,best,0.7688515977571013
89,320,80,random,0.7490408717800932
90,320,160,best,0.7776286308830352
91,320,160,random,0.7605853338710512
92,320,320,best,0.7836502370712487
93,320,320,random,0.768210282402053
94,320,640,best,0.7853842651778707
95,320,640,random,0.7716426329896142
96,320,1280,best,0.7832464633974491
97,320,1280,random,0.7733054219371697
98,640,20,best,0.7469861792956317
99,640,20,random,0.7210706412088552
100,640,40,best,0.7597895290017137
101,640,40,random,0.7341236107954912
102,640,80,best,0.7688515977571013
103,640,80,random,0.7481857148156942
104,640,160,best,0.7776286308830352
105,640,160,random,0.7570578649072627
106,640,320,best,0.7836502370712487
107,640,320,random,0.7699323381038164
108,640,640,best,0.7854080174416956
109,640,640,random,0.7701936969361505
110,640,1280,best,0.7830920662769764
111,640,1280,random,0.7751226009522345
112,1280,20,best,0.7469861792956317
113,1280,20,random,0.7124717990797012
114,1280,40,best,0.7597895290017137
115,1280,40,random,0.7330902176953483
116,1280,80,best,0.7688515977571013
117,1280,80,random,0.7500506127684868
118,1280,160,best,0.7776286308830352
119,1280,160,random,0.7594094490521452
120,1280,320,best,0.7836502370712487
121,1280,320,random,0.767984476146103
122,1280,640,best,0.7854198967474414
123,1280,640,random,0.7690653970486734
124,1280,1280,best,0.7829614185991434
125,1280,1280,random,0.7724977927751986
