,model,best_score,best_params
0,decision_tree,0.7639226951516098,"{'max_leaf_nodes': 60, 'max_depth': 10}"
1,knn,0.7121037557169556,"{'weights': 'distance', 'n_neighbors': 15, 'metric': 'minkowski'}"
