,param_bootstrap,param_max_depth,param_n_estimators,param_criterion,param_min_samples_split,mean_test_score
0,False,40,40,gini,1,
1,False,40,40,gini,2,0.8173093947302235
2,False,40,40,gini,3,0.818829661631274
3,False,40,40,gini,4,0.8190671983754486
4,False,40,40,gini,5,0.8193759721628011
