,param_n_neighbors,param_weights,param_metric,param_algorithm,param_leaf_size,param_p,mean_test_score
0,15,distance,euclidean,ball_tree,100,1,0.712210641
1,15,distance,euclidean,ball_tree,200,1,0.712448203
2,15,distance,euclidean,ball_tree,300,1,0.712353182
3,15,distance,euclidean,ball_tree,400,1,0.712353182
4,15,distance,euclidean,ball_tree,500,1,0.712353182
5,15,distance,euclidean,ball_tree,600,1,0.711652439
6,15,distance,euclidean,ball_tree,700,1,0.711652439
7,15,distance,euclidean,ball_tree,800,1,0.711652439
