,param_max_depth,param_max_leaf_nodes,param_splitter,mean_test_score
0,20,20,best,0.7469861792956317
1,20,20,random,0.7213322617061203
2,20,40,best,0.7597538981374394
3,20,40,random,0.7318671337420948
4,20,80,best,0.7689228672439092
5,20,80,random,0.7438745614996518
6,20,160,best,0.7781155794453521
7,20,160,random,0.7585899201308353
8,20,320,best,0.7834720890975438
9,20,320,random,0.7688634086491051
10,20,640,best,0.7844935154351982
11,20,640,random,0.7730678908353656
12,20,1280,best,0.7829851786212275
13,20,1280,random,0.7696117238020155
14,40,20,best,0.7469861792956317
15,40,20,random,0.7162961787469113
16,40,40,best,0.7597538981374394
17,40,40,random,0.7412853446902966
18,40,80,best,0.7689228672439092
19,40,80,random,0.746451734669221
20,40,160,best,0.7781155794453521
21,40,160,random,0.7613097303102077
22,40,320,best,0.7833889487685456
23,40,320,random,0.7684477930502641
24,40,640,best,0.7843866214317825
25,40,640,random,0.7741368273430401
26,40,1280,best,0.7829970515793064
27,40,1280,random,0.771310118223178
28,20,20,best,0.7469861792956317
29,20,20,random,0.7081488835371005
30,20,40,best,0.7597538981374394
31,20,40,random,0.7368552029497184
32,20,80,best,0.7689228672439092
33,20,80,random,0.7519509694932545
34,20,160,best,0.7781155794453521
35,20,160,random,0.7604427716226569
36,20,320,best,0.7834720890975438
37,20,320,random,0.7676162571645763
38,20,640,best,0.7844103772220891
39,20,640,random,0.7736142352211154
40,20,1280,best,0.782985175094746
41,20,1280,random,0.7732222985352829
42,40,20,best,0.7469861792956317
43,40,20,random,0.7251566956811463
44,40,40,best,0.7597538981374394
45,40,40,random,0.739669983393093
46,40,80,best,0.7689228672439092
47,40,80,random,0.7512025330293788
48,40,160,best,0.7781155794453521
49,40,160,random,0.76078709093343
50,40,320,best,0.7833889487685456
51,40,320,random,0.7648609663490434
52,40,640,best,0.7844103772220888
53,40,640,random,0.7742199570925937
54,40,1280,best,0.7831276922041766
55,40,1280,random,0.7703837178679345
56,80,20,best,0.7469861792956317
57,80,20,random,0.7216290214761316
58,80,40,best,0.7597538981374394
59,80,40,random,0.7362969764370377
60,80,80,best,0.7689228672439092
61,80,80,random,0.7477939008514196
62,80,160,best,0.7781155794453521
63,80,160,random,0.7557987805144686
64,80,320,best,0.7834720890975438
65,80,320,random,0.769920502526442
66,80,640,best,0.7845053933303513
67,80,640,random,0.7707875825249579
68,80,1280,best,0.7830683126025588
69,80,1280,random,0.7714052436523685
70,160,20,best,0.7469861792956317
71,160,20,random,0.7195624299376278
72,160,40,best,0.7597538981374394
73,160,40,random,0.7322589554646288
74,160,80,best,0.7689228672439092
75,160,80,random,0.7465466210029623
76,160,160,best,0.7781155794453521
77,160,160,random,0.7570697061270077
78,160,320,best,0.7833889487685456
79,160,320,random,0.7679726701911733
80,160,640,best,0.7844103772220891
81,160,640,random,0.772438399772951
82,160,1280,best,0.7830920648663836
83,160,1280,random,0.7749326174011552
84,320,20,best,0.7469861792956317
85,320,20,random,0.7206431244400828
86,320,40,best,0.7597538981374394
87,320,40,random,0.7340285453164869
88,320,80,best,0.7689228672439092
89,320,80,random,0.7498365920138734
90,320,160,best,0.7781155794453521
91,320,160,random,0.7607634035568658
92,320,320,best,0.7834720890975438
93,320,320,random,0.7657398191535626
94,320,640,best,0.7844578838656274
95,320,640,random,0.7730322543287208
96,320,1280,best,0.7829614207150322
97,320,1280,random,0.7729610186961356
98,640,20,best,0.7469861792956317
99,640,20,random,0.714966043509165
100,640,40,best,0.7597538981374394
101,640,40,random,0.7396106150762164
102,640,80,best,0.7689228672439092
103,640,80,random,0.7501691512139772
104,640,160,best,0.7781155794453521
105,640,160,random,0.757366592850355
106,640,320,best,0.7833889487685456
107,640,320,random,0.7657517682836431
108,640,640,best,0.7844697582342991
109,640,640,random,0.7726165766638046
110,640,1280,best,0.7830445546963636
111,640,1280,random,0.7740180970569537
112,1280,20,best,0.7469861792956317
113,1280,20,random,0.7174722554064136
114,1280,40,best,0.7597538981374394
115,1280,40,random,0.7361544988242006
116,1280,80,best,0.7689228672439092
117,1280,80,random,0.7500385105891072
118,1280,160,best,0.7781155794453521
119,1280,160,random,0.760311996991488
120,1280,320,best,0.7833889487685456
121,1280,320,random,0.7663931379465072
122,1280,640,best,0.784552897858001
123,1280,640,random,0.7741130779004006
124,1280,1280,best,0.783020805253724
125,1280,1280,random,0.7715833196858497
