,param_bootstrap,param_max_depth,param_n_estimators,param_criterion,param_min_samples_split,mean_test_score
0,False,40,40,gini,3,0.8196254178351664
1,False,40,40,gini,4,0.8193522382366802
2,False,40,40,gini,5,0.8191146845653943
3,False,40,40,gini,6,0.8194116164277053
4,False,40,40,gini,7,0.8195778526520341
