,param_bootstrap,param_max_depth,param_n_estimators,param_criterion,mean_test_score
0,False,40,40,gini,0.8186633830891668
1,False,40,40,entropy,0.8177844378908311
2,False,40,40,log_loss,0.8173331596893819
