,param_max_depth,param_max_leaf_nodes,param_splitter,param_max_features,mean_test_score
0,1280,1280,best,30,0.7818805992592414
1,1280,1280,best,40,0.7818449634578928
2,1280,1280,best,50,0.7819518623983827
3,1280,1280,best,60,0.7819281023762984
4,1280,1280,best,70,0.7819281051974836
5,1280,1280,best,80,0.7820231206004499
6,1280,1280,best,90,0.7819162223652564
7,1280,1280,best,100,0.7818449620473003
