,model,best_score,best_params
0,decision_tree,0.7726165710214341,"{'max_depth': 1280, 'max_features': 50, 'max_leaf_nodes': 100, 'splitter': 'best'}"
1,knn,0.737437174673261,"{'algorithm': 'ball_tree', 'leaf_size': 200, 'metric': 'cityblock', 'n_neighbors': 15, 'p': 1, 'weights': 'distance'}"
2,random_forest,0.8196254178351664,"{'bootstrap': False, 'criterion': 'gini', 'max_depth': 40, 'min_samples_split': 3, 'n_estimators': 40}"
